Thread,Function,Calls,Total_ns,Avg_ns,Parent
0,attention_sub_op,6,513595,85599.17,root
0,attention,2,510938,255469.00,root
0,transformer,2,1057709,528854.50,root
0,gemm,5,648022,129604.40,root
1,attention_sub_op,6,574739,95789.83,root
1,attention,2,469948,234974.00,root
1,transformer,2,1002812,501406.00,root
1,gemm,5,644740,128948.00,root
2,attention_sub_op,6,565364,94227.33,root
2,attention,2,518802,259401.00,root
2,transformer,2,1063541,531770.50,root
2,gemm,5,686251,137250.20,root
3,attention_sub_op,6,559373,93228.83,root
3,attention,2,497760,248880.00,root
3,transformer,2,1027187,513593.50,root
3,gemm,5,711823,142364.60,root
4,attention_sub_op,6,513595,85599.17,root
4,attention,2,510938,255469.00,root
4,transformer,2,1057709,528854.50,root
4,gemm,5,648022,129604.40,root
5,attention_sub_op,6,559373,93228.83,root
5,attention,2,497760,248880.00,root
5,transformer,2,1027187,513593.50,root
5,gemm,5,711823,142364.60,root
6,attention_sub_op,6,574739,95789.83,root
6,attention,2,469948,234974.00,root
6,transformer,2,1002812,501406.00,root
6,gemm,5,644740,128948.00,root
7,attention_sub_op,6,565364,94227.33,root
7,attention,2,518802,259401.00,root
7,transformer,2,1063541,531770.50,root
7,gemm,5,686251,137250.20,root
8,attention_sub_op,6,559373,93228.83,root
8,attention,2,497760,248880.00,root
8,transformer,2,1027187,513593.50,root
8,gemm,5,711823,142364.60,root
9,attention_sub_op,6,513595,85599.17,root
9,attention,2,510938,255469.00,root
9,transformer,2,1057709,528854.50,root
9,gemm,5,648022,129604.40,root
10,attention_sub_op,6,565364,94227.33,root
10,attention,2,518802,259401.00,root
10,transformer,2,1063541,531770.50,root
10,gemm,5,686251,137250.20,root
11,attention_sub_op,6,574739,95789.83,root
11,attention,2,469948,234974.00,root
11,transformer,2,1002812,501406.00,root
11,gemm,5,644740,128948.00,root
